docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100UEB6,E00009,13810,5340001000258,株式会社アクシーズ,,010,030000,120,2023-07-01,2024-06-30,2024-09-19 14:16,有価証券報告書－第62期(2023/07/01－2024/06/30),,,,,,1,1,1
S100UC5F,E36393,93460,9020001094849,株式会社ココルポート,,010,030000,120,2023-07-01,2024-06-30,2024-09-19 15:17,有価証券報告書－第13期(2023/07/01－2024/06/30),,,,,,1,1,1
S100UE8X,E05163,48260,1020001015606,株式会社ＣＩＪ,,010,030000,120,2023-07-01,2024-06-30,2024-09-19 15:21,有価証券報告書－第49期(2023/07/01－2024/06/30),,,,,,1,1,1
S100UE6V,E02398,79620,8010001014924,株式会社キングジム,,010,030000,120,2023-06-21,2024-06-20,2024-09-19 16:07,有価証券報告書－第76期(2023/06/21－2024/06/20),,,,,,1,1,1
