docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100U42L,E04192,,9110001003701,新潟運輸株式会社,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 09:12,有価証券報告書－第81期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U3CC,E05483,24380,7240001000407,株式会社アスカネット,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 09:23,有価証券報告書－第29期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U48Y,E03279,75330,5290001017679,株式会社グリーンクロス,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 09:28,有価証券報告書－第53期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U49Q,E03314,76040,5290001048435,株式会社　梅の花,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 10:22,有価証券報告書－第45期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U43R,E00482,29100,4140001002820,株式会社ロック・フィールド,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 11:21,有価証券報告書－第52期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U44J,E05484,37700,8011001048846,株式会社ザッパラス,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 11:53,有価証券報告書－第25期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4C2,E00414,25930,3011001002279,株式会社伊藤園,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 14:46,有価証券報告書－第59期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4D8,E31627,,7120001190680,株式会社東京クラシック,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 15:10,有価証券報告書－第9期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4DJ,E33880,43820,7010401081739,ＨＥＲＯＺ株式会社,,010,030000,120,2023-05-01,2024-04-30,2024-07-29 16:10,有価証券報告書－第16期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4EX,E02174,72560,5021001006269,河西工業株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-29 17:14,有価証券報告書－第93期(2023/04/01－2024/03/31),,,,,,1,1,1
