docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100U4EY,E05563,30310,8010001076972,株式会社ラクーンホールディングス,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 10:04,有価証券報告書－第28期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4JY,E00281,17660,1180001054828,東建コーポレーション株式会社,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 11:00,有価証券報告書－第48期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4JO,E34643,44310,3120002064771,株式会社スマレジ,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 11:14,有価証券報告書－第19期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4L8,E02356,66560,7410001008548,インスペック株式会社,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 11:50,有価証券報告書－第36期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4KQ,E00909,46230,4120001001403,株式会社アサヒペン,,010,030000,120,2023-04-01,2024-03-31,2024-07-30 11:53,有価証券報告書－第78期(2023/04/01－2024/03/31),,,,,,1,1,1
S100U4I2,E03363,26780,5010601030357,アスクル株式会社,,010,030000,120,2023-05-21,2024-05-20,2024-07-30 15:00,有価証券報告書－第61期(2023/05/21－2024/05/20),,,,,,1,1,1
S100U4G8,E35534,70950,7011001107074,株式会社Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 15:07,有価証券報告書－第9期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4O7,E04651,,7010001025047,株式会社中山カントリークラブ,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 15:33,有価証券報告書－第63期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U46L,E39653,184A0,4010001167800,株式会社学びエイド,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 16:00,有価証券報告書－第10期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4HK,E37468,50790,4140001058111,株式会社ノバック,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 16:07,有価証券報告書－第60期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U4JR,E39661,186A0,6010603007550,株式会社アストロスケールホールディングス,,010,030000,120,2023-05-01,2024-04-30,2024-07-30 16:46,有価証券報告書－第6期(2023/05/01－2024/04/30),,,,,,1,1,1
