docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100UEAA,E00476,29040,5110001001304,一正蒲鉾株式会社,,010,030000,120,2023-07-01,2024-06-30,2024-09-20 09:07,有価証券報告書－第60期(2023/07/01－2024/06/30),,,,,,1,1,1
S100UDP6,E30501,31910,6050001009303,株式会社ジョイフル本田,,010,030000,120,2023-06-21,2024-06-20,2024-09-20 10:00,有価証券報告書－第49期(2023/06/21－2024/06/20),,,,,,1,1,1
S100UEH8,E05663,38360,4010401091204,株式会社アバントグループ,,010,030000,120,2023-07-01,2024-06-30,2024-09-20 13:00,有価証券報告書－第28期(2023/07/01－2024/06/30),,,,,,1,1,1
S100UEAV,E34288,43980,8011101038136,株式会社ブロードバンドセキュリティ,,010,030000,120,2023-07-01,2024-06-30,2024-09-20 15:01,有価証券報告書－第25期(2023/07/01－2024/06/30),,,,,,1,1,1
S100UEMA,E33026,39840,9011001069346,株式会社ユーザーローカル,,010,030000,120,2023-07-01,2024-06-30,2024-09-20 15:03,有価証券報告書－第19期(2023/07/01－2024/06/30),,,,,,1,1,1
