docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100U3OP,E22016,34440,6010101000917,株式会社菊池製作所,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 10:58,有価証券報告書－第49期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U317,E00197,18730,6400001001397,株式会社日本ハウスホールディングス,,010,030000,120,2023-11-01,2024-04-30,2024-07-25 11:06,有価証券報告書－第56期(2023/11/01－2024/04/30),,,,,,1,1,1
S100U3IG,E04732,,3190001013203,株式会社涼仙,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 14:04,有価証券報告書－第22期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U3L2,E03326,76230,4020001020256,株式会社サンオータス,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 14:10,有価証券報告書－第73期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U3VG,E00715,79010,9290801005722,株式会社マツモト,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 14:28,有価証券報告書－第36期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U2VU,E25884,77770,4010001087940,株式会社スリー・ディー・マトリックス,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 15:34,有価証券報告書－第20期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U3M8,E00578,35240,3010401022044,日東製網株式会社,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 15:38,有価証券報告書－第123期(2023/05/01－2024/04/30),,,,,,1,1,1
S100U3IR,E24248,31610,7010501008071,アゼアス株式会社,,010,030000,120,2023-05-01,2024-04-30,2024-07-25 16:00,有価証券報告書－第83期(2023/05/01－2024/04/30),,,,,,1,1,1
