docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100U9KL,E05289,23030,9140001018622,株式会社ドーン,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 09:30,有価証券報告書－第33期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAOR,E03169,98120,1440001001290,株式会社テーオーホールディングス,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 09:44,有価証券報告書－第70期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAMP,E01742,65050,7010001034857,東洋電機製造株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 09:58,有価証券報告書－第163期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA40,E02842,74870,8010001039269,小津産業株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 10:00,有価証券報告書－第113期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAR1,E35495,70860,2010401131878,株式会社きずなホールディングス,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 11:25,有価証券報告書－第7期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAK2,E01649,64960,5122001015687,株式会社中北製作所,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 11:30,有価証券報告書－第98期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAJD,E05641,38240,1290001018160,メディアファイブ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 11:45,有価証券報告書－第28期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAO3,E05536,24620,5120001111993,ライク株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 12:00,有価証券報告書－第31期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAL3,E02677,81550,5070001009541,三益半導体工業株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 12:33,有価証券報告書－第55期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UADM,E04685,,4230001007050,株式会社金太郎温泉,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 13:06,有価証券報告書－第59期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAIL,E31379,60440,3140001059036,株式会社三機サービス,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 14:15,有価証券報告書－第47期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA2Q,E00323,14010,9250001004074,株式会社エムビーエス,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 14:20,有価証券報告書－第27期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UATF,E05176,48340,7430001004883,キャリアバンク株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 14:34,有価証券報告書－第37期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UALO,E03465,30210,5010401054564,株式会社パシフィックネット,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 15:00,有価証券報告書－第36期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UASZ,E34663,44300,1180001031538,東海ソフト株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 15:00,有価証券報告書－第55期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAEC,E00574,35010,3120001082312,住江織物株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 15:00,有価証券報告書－第135期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAG6,E37399,92160,6011101029715,ビーウィズ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 15:00,有価証券報告書－第25期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAN7,E27855,60830,4010401109146,ＥＲＩホールディングス株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 15:00,有価証券報告書－第11期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAUL,E39137,55950,2290002030634,株式会社ＱＰＳ研究所,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 15:30,有価証券報告書－第19期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UADF,E26831,59320,2230001010080,三協立山株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 16:00,有価証券報告書－第79期(2023/06/01－2024/05/31),,,,,,1,1,1
S100U9VC,E01672,64890,5010001057579,前澤工業株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 16:00,有価証券報告書－第78期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UABS,E05169,48290,3011001033976,日本エンタープライズ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 16:02,有価証券報告書－第36期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAMF,E03446,33490,9290001025414,株式会社コスモス薬品,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 16:20,有価証券報告書－第42期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAM9,E36840,40760,9011001034011,株式会社シイエヌエス,,010,030000,120,2023-06-01,2024-05-31,2024-08-29 16:38,有価証券報告書－第39期(2023/06/01－2024/05/31),,,,,,1,1,1
