docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100U9BJ,E03424,27920,5380001013644,株式会社ハニーズホールディングス,,010,030000,120,2023-06-01,2024-05-31,2024-08-21 13:18,有価証券報告書－第46期(2023/06/01－2024/05/31),,,,,,1,1,1
S100U9G8,E02793,74200,3010401011559,佐鳥電機株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-21 13:48,有価証券報告書－第82期(2023/06/01－2024/05/31),,,,,,1,1,1
S100U99X,E24129,31600,6200001013834,株式会社大光,,010,030000,120,2023-06-01,2024-05-31,2024-08-21 14:42,有価証券報告書－第74期(2023/06/01－2024/05/31),,,,,,1,1,1
